CA,California,Alameda,$6.485
CA,California,Alpine,$5.559
CA,California,Amador,$6.279
CA,California,Butte,$6.162
CA,California,Calaveras,$6.356
CA,California,Colusa,$6.390
CA,California,Contra Costa,$6.434
CA,California,Del Norte,$6.739
CA,California,El Dorado,$6.423
CA,California,Fresno,$6.184
CA,California,Glenn,$6.228
CA,California,Humboldt,$6.873
CA,California,Imperial,$6.136
CA,California,Inyo,$6.482
CA,California,Kern,$6.264
CA,California,Kings,$6.148
CA,California,Lake,$6.350
CA,California,Lassen,$6.225
CA,California,Los Angeles,$6.467
CA,California,Madera,$6.207
CA,California,Marin,$6.656
CA,California,Mariposa,$6.159
CA,California,Mendocino,$6.263
CA,California,Merced,$6.243
CA,California,Modoc,$6.333
CA,California,Mono,$7.137
CA,California,Monterey,$6.461
CA,California,Napa,$6.450
CA,California,Nevada,$6.489
CA,California,Orange,$6.425
CA,California,Placer,$6.349
CA,California,Plumas,$6.383
CA,California,Riverside,$6.331
CA,California,Sacramento,$6.287
CA,California,San Benito,$6.429
CA,California,San Bernardino,$6.320
CA,California,San Diego,$6.402
CA,California,San Francisco,$6.495
CA,California,San Joaquin,$6.290
CA,California,San Luis Obispo,$6.558
CA,California,San Mateo,$6.614
CA,California,Santa Barbara,$6.345
CA,California,Santa Clara,$6.475
CA,California,Santa Cruz,$6.293
CA,California,Shasta,$6.343
CA,California,Sierra,$6.739
CA,California,Siskiyou,$6.460
CA,California,Solano,$6.324
CA,California,Sonoma,$6.523
CA,California,Stanislaus,$6.167
CA,California,Sutter,$5.988
CA,California,Tehama,$6.209
CA,California,Trinity,$6.605
CA,California,Tulare,$6.230
CA,California,Tuolumne,$6.062
CA,California,Ventura,$6.409
CA,California,Yolo,$6.301
CA,California,Yuba,$6.162
NV,Nevada,Carson City,$5.552
NV,Nevada,Churchill,$5.526
NV,Nevada,Clark,$5.509
NV,Nevada,Douglas,$5.704
NV,Nevada,Elko,$4.501
NV,Nevada,Esmeralda,
NV,Nevada,Eureka,$4.779
NV,Nevada,Humboldt,$4.739
NV,Nevada,Lander,$4.571
NV,Nevada,Lincoln,$4.662
NV,Nevada,Lyon,$5.443
NV,Nevada,Mineral,$6.246
NV,Nevada,Nye,$5.213
NV,Nevada,Pershing,$5.902
NV,Nevada,Storey,
NV,Nevada,Washoe,$5.808
NV,Nevada,White Pine,$4.480
OR,Oregon,Baker,$4.812
OR,Oregon,Benton,$5.144
OR,Oregon,Clackamas,$5.508
OR,Oregon,Clatsop,$5.449
OR,Oregon,Columbia,$5.456
OR,Oregon,Coos,$5.552
OR,Oregon,Crook,$5.519
OR,Oregon,Curry,$5.670
OR,Oregon,Deschutes,$5.514
OR,Oregon,Douglas,$5.433
OR,Oregon,Gilliam,$5.099
OR,Oregon,Grant,$5.286
OR,Oregon,Harney,$5.319
OR,Oregon,Hood River,$5.527
OR,Oregon,Jackson,$5.586
OR,Oregon,Jefferson,$5.325
OR,Oregon,Josephine,$5.628
OR,Oregon,Klamath,$5.388
OR,Oregon,Lake,$5.579
OR,Oregon,Lane,$5.439
OR,Oregon,Lincoln,$5.337
OR,Oregon,Linn,$5.323
OR,Oregon,Malheur,$4.551
OR,Oregon,Marion,$5.345
OR,Oregon,Morrow,$4.942
OR,Oregon,Multnomah,$5.561
OR,Oregon,Polk,$5.299
OR,Oregon,Sherman,$5.523
OR,Oregon,Tillamook,$5.608
OR,Oregon,Umatilla,$5.013
OR,Oregon,Union,$4.881
OR,Oregon,Wallowa,$5.152
OR,Oregon,Wasco,$5.444
OR,Oregon,Washington,$5.489
OR,Oregon,Wheeler,
OR,Oregon,Yamhill,$5.439
AK,Alaska,Aleutians East,
AK,Alaska,Aleutians West,$5.349
AK,Alaska,Anchorage,$5.431
AK,Alaska,Bethel,
AK,Alaska,Bristol Bay,
AK,Alaska,Denali,$5.426
AK,Alaska,Dillingham,
AK,Alaska,Fairbanks North Star,$5.387
AK,Alaska,Haines,
AK,Alaska,Juneau,$4.968
AK,Alaska,Kenai Peninsula,$5.310
AK,Alaska,Ketchikan Gateway,$5.189
AK,Alaska,Kodiak Island,$5.579
AK,Alaska,Matanuska Susitna,$5.226
AK,Alaska,Nome,
AK,Alaska,North Slope,
AK,Alaska,Northwest Arctic,
AK,Alaska,Lake and Peninsula,
AK,Alaska,Prince Wales Ketchikan,$4.169
AK,Alaska,Sitka,$5.699
AK,Alaska,Skagway Hoonah Angoon,
AK,Alaska,Southeast Fairbanks,$5.245
AK,Alaska,Valdez Cordova,$5.926
AK,Alaska,Wade Hampton,
AK,Alaska,Wrangell Petersburg,
AK,Alaska,Yakutat,
AK,Alaska,Yukon Koyukuk,$5.749
WA,Washington,Adams,$4.991
WA,Washington,Asotin,$4.566
WA,Washington,Benton,$4.960
WA,Washington,Chelan,$5.134
WA,Washington,Clallam,$5.331
WA,Washington,Clark,$5.474
WA,Washington,Columbia,$4.999
WA,Washington,Cowlitz,$5.511
WA,Washington,Douglas,$5.119
WA,Washington,Ferry,$4.986
WA,Washington,Franklin,$4.929
WA,Washington,Garfield,$4.849
WA,Washington,Grant,$5.092
WA,Washington,Grays Harbor,$5.433
WA,Washington,Island,$5.234
WA,Washington,Jefferson,$5.442
WA,Washington,King,$5.513
