2024-06-05,CA,California,$5.002,https://gasprices.aaa.com?state=CA
2024-06-05,HI,Hawaii,$4.763,https://gasprices.aaa.com?state=HI
2024-06-05,WA,Washington,$4.468,https://gasprices.aaa.com?state=WA
2024-06-05,OR,Oregon,$4.208,https://gasprices.aaa.com?state=OR
2024-06-05,NV,Nevada,$4.191,https://gasprices.aaa.com?state=NV
2024-06-05,AK,Alaska,$4.112,https://gasprices.aaa.com?state=AK
2024-06-05,IL,Illinois,$3.876,https://gasprices.aaa.com?state=IL
2024-06-05,AZ,Arizona,$3.755,https://gasprices.aaa.com?state=AZ
2024-06-05,PA,Pennsylvania,$3.712,https://gasprices.aaa.com?state=PA
2024-06-05,DC,District of Columbia,$3.695,https://gasprices.aaa.com?state=DC
2024-06-05,ID,Idaho,$3.684,https://gasprices.aaa.com?state=ID
2024-06-05,NY,New York,$3.642,https://gasprices.aaa.com?state=NY
2024-06-05,CT,Connecticut,$3.612,https://gasprices.aaa.com?state=CT
2024-06-05,MD,Maryland,$3.597,https://gasprices.aaa.com?state=MD
2024-06-05,VT,Vermont,$3.553,https://gasprices.aaa.com?state=VT
2024-06-05,UT,Utah,$3.540,https://gasprices.aaa.com?state=UT
2024-06-05,MA,Massachusetts,$3.500,https://gasprices.aaa.com?state=MA
2024-06-05,MI,Michigan,$3.497,https://gasprices.aaa.com?state=MI
2024-06-05,ME,Maine,$3.489,https://gasprices.aaa.com?state=ME
2024-06-05,RI,Rhode Island,$3.485,https://gasprices.aaa.com?state=RI
2024-06-05,DE,Delaware,$3.472,https://gasprices.aaa.com?state=DE
2024-06-05,NJ,New Jersey,$3.460,https://gasprices.aaa.com?state=NJ
2024-06-05,WV,West Virginia,$3.443,https://gasprices.aaa.com?state=WV
2024-06-05,MT,Montana,$3.437,https://gasprices.aaa.com?state=MT
2024-06-05,NH,New Hampshire,$3.418,https://gasprices.aaa.com?state=NH
2024-06-05,IN,Indiana,$3.415,https://gasprices.aaa.com?state=IN
2024-06-05,VA,Virginia,$3.402,https://gasprices.aaa.com?state=VA
2024-06-05,FL,Florida,$3.389,https://gasprices.aaa.com?state=FL
2024-06-05,GA,Georgia,$3.338,https://gasprices.aaa.com?state=GA
2024-06-05,WY,Wyoming,$3.332,https://gasprices.aaa.com?state=WY
2024-06-05,OH,Ohio,$3.322,https://gasprices.aaa.com?state=OH
2024-06-05,CO,Colorado,$3.296,https://gasprices.aaa.com?state=CO
2024-06-05,WI,Wisconsin,$3.291,https://gasprices.aaa.com?state=WI
2024-06-05,SD,South Dakota,$3.290,https://gasprices.aaa.com?state=SD
2024-06-05,ND,North Dakota,$3.290,https://gasprices.aaa.com?state=ND
2024-06-05,NE,Nebraska,$3.273,https://gasprices.aaa.com?state=NE
2024-06-05,NC,North Carolina,$3.272,https://gasprices.aaa.com?state=NC
2024-06-05,MN,Minnesota,$3.254,https://gasprices.aaa.com?state=MN
2024-06-05,KY,Kentucky,$3.246,https://gasprices.aaa.com?state=KY
2024-06-05,IA,Iowa,$3.225,https://gasprices.aaa.com?state=IA
2024-06-05,NM,New Mexico,$3.220,https://gasprices.aaa.com?state=NM
2024-06-05,AL,Alabama,$3.163,https://gasprices.aaa.com?state=AL
2024-06-05,SC,South Carolina,$3.159,https://gasprices.aaa.com?state=SC
2024-06-05,MO,Missouri,$3.129,https://gasprices.aaa.com?state=MO
2024-06-05,TN,Tennessee,$3.095,https://gasprices.aaa.com?state=TN
2024-06-05,LA,Louisiana,$3.079,https://gasprices.aaa.com?state=LA
2024-06-05,KS,Kansas,$3.075,https://gasprices.aaa.com?state=KS
2024-06-05,TX,Texas,$3.046,https://gasprices.aaa.com?state=TX
2024-06-05,OK,Oklahoma,$3.024,https://gasprices.aaa.com?state=OK
2024-06-05,AR,Arkansas,$3.014,https://gasprices.aaa.com?state=AR
2024-06-05,MS,Mississippi,$2.996,https://gasprices.aaa.com?state=MS
